Dataset,Measure,Measure/Dataset Description,Unit/Transformation/Adjustment,Period Available,Area Available,API
Contribution to year-on-year inflation [COICOP2018],Insurance and financial services,,Percentage points,Jan 2021 - Jun 2024,"Costa Rica, Japan","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....CP12..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],"Personal care, social protection and miscellaneous goods and services",,Percentage points,Jan 2021 - Jun 2024,"Costa Rica, Japan","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....CP13..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Residuals,,Percentage points,Jan 2021 - Jun 2024,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....CPRES..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Energy,,Percentage points,Jan 2021 - Jun 2024,"Costa Rica, Japan","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....CP045_0722..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Goods,,Percentage points,Jan 2021 - Jun 2024,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....GD..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Housing excluding imputed rentals for housing,,Percentage points,Jan 2021 - Jun 2024,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....CP041T043X042..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],All items non-food non-energy,,Percentage points,Jan 2021 - Jun 2024,"Costa Rica, Japan","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M...._TXCP01_NRG..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Services less housing ( Housing excluding imputed rentals for housing ),,Percentage points,Jan 2021 - Jun 2024,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....SERVXCP041_0432..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP2018],Services,,Percentage points,Jan 2021 - Jun 2024,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_CONTRIB,1.0/.M....SERV..?dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Total,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M...._T..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Food and non-alcoholic beverages,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP01..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],"Alcoholic beverages, tobacco and narcotics",,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP02..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Clothing and footwear,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP03..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],"Housing, water, electricity, gas and other fuels",,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP04..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Actual rentals for housing,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP041..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Imputed rentals for housing,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Belgium, Costa Rica, Chile, Estonia, France, Greece, Hungary, Ireland, Italy, Korea, Latvia, Lithuania, Luxembourg, New Zealand, Poland, Portugal, Slovenia, Spain, Switzerland, Türkiye)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP042..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Maintenance and repair of the dwelling,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Colombia, Costa Rica, New Zealand, Mexico)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP043..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Water supply and miscellaneous services relating to the dwelling,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Costa Rica, New Zealand)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP044..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],"Electricity, gas and other fuels",,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Costa Rica, New Zealand)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP045..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],"Furnishings, household equipment and routine household maintenance",,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP05..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Health,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP06..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Transport,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP07..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Fuels and lubricants for personal transport equipment,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Costa Rica, New Zealand)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP0722..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Communication,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP08..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],"Recreation, sport and culture",,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP09..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Education ,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP10..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Restaurants and hotels,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP11..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Miscellaneous goods and services,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP12..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Energy,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP045_0722..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Goods,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Belgium, Colombia, Costa Rica, Estonia, Germany, Iceland, Norway, Sweden, Türkiye, New Zealand)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....GD..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Housing,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Austria, Belgium, Chile, Costa Rica, Estonia, France, Greece, Hungary, Italy, Korea, Latvia, Lithuania, Luxembourg, New Zealand, Poland, Portugal, Slovenia, Spain, Türkiye)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP041T043..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Housing excluding imputed rentals for housing,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Colombia, Costa Rica, Germany, Iceland, Ireland, New Zealand, Mexico, Sweden, Switzerland, US)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CP041T043X042..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],All items non-food non-energy,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M...._TXCP01_NRG..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Services less housing,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Austria, Belgium, Chile, Costa Rica, Estonia, France, Germany, Greece, Hungary, Iceland, Italy, Korea, Latvia, Lithuania, Luxembourg, New Zealand, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Türkiye)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....SERVXCP041_042_0432..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Services less housing ( Housing excluding imputed rentals for housing ),,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Canada, Colombia, Costa Rica, Czechia, Denmark, Finland, Germany, Iceland, Ireland, Israel, Japan, Mexico, Netherlands, New Zealand, Norway, Slovak Republic, Sweden, Switzerland, US)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....SERVXCP041_0432..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Services,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, Austria, Colombia, Costa Rica, Germany, Iceland, Lithuania,  New Zealand, Norway, Poland, Sweden, Türkiye, UK, US)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....SERV..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Contribution to year-on-year inflation [COICOP1999],Residuals,,Percentage points,Jan 2010 - Jun 2024,"OECD members (missing Australia, New Zealand, Costa Rica)","https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES@DF_PRICES_CONTRIB,1.0/.M....CPRES..?startPeriod=2010-01&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ARG,,,Argentine peso,2010 - 2022,Argentina,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ARG,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ARM,,,Armenian dram,2010 - 2022, Armenia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ARM,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - AUS,,,Australian dollar,2010 - 2022,Australia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_AUS,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - AUT,,,Euro,2010 - 2022,Austria,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_AUT,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - AZE,,,Azerbaijanian manat,2010 - 2022, Azerbaijan,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_AZE,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - BEL,,,Euro,2010 - 2022, Belgium,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_BEL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - BRA,,,Brazilian real,2010 - 2022,Brazil,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_BRA,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CAN,,,Canadian dollar,2010 - 2022,Canada,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CAN,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CHE,,,Swiss franc,2010 - 2022,Switzerland,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CHE,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CHL,,,US dollar,2010 - 2022,Chili,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CHL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - COL,,,Colombian peso,2010 - 2022,Colombia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_COL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CRI,,,Costa Rican colon,2010 - 2022,Costa Rica,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CRI,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CZE,,,Czech koruna,2010 - 2022,Czech republic,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CZE,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - DEU,,,Euro,2010 - 2022, Germany,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_DEU,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - DNK,,,Danish krone,2010 - 2022,Denmark,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_DNK,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ESP,,,Euro,2010 - 2022,Spain,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ESP,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - EST,,,Euro,2010 - 2022,Estonia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_EST,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - FIN,,,Euro,2010 - 2022,Finland,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_FIN,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - FRA,,,Euro,2010 - 2022,France,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_FRA,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - GBR,,,Euro,2010 - 2022, United Kingdom,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_GBR,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - GEO,,,Lari,2010 - 2022,Georgia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_GEO,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - GRC,,,Euro,2010 - 2022,Greece,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_GRC,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - HUN,,,Forint,2010 - 2022,Hungaria,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_HUN,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - IDN,,,Indian rupee,2010 - 2022,Indonesia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_IDN,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - Detailed Indicators,,,US dollar,2010 - 2022, Detailed Indicators,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_IND_DETAIL,/A.OECD........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - IRL,,,Euro,2010 - 2022,Ireland,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_IRL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ISL,,,Iceland krona,2010 - 2022, Island,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ISL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ISR,,,New Israeli sheqel,2010 - 2022,Israel,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ISR,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ITA,,,Euro,2010 - 2022,Italy,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ITA,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - JPN,,,Yen,2010 - 2022,Japan,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_JPN,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - KOR,,,Won,2010 - 2022,Korea,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_KOR,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - LTU,,,Euro,2010 - 2022,Lithuania,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_LTU,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - LUX,,,Euro,2010 - 2022,Luxembourg,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_LUX,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - LVA,,,Euro,2010 - 2022,Latvia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_LVA,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - MDA,,,Moldovan leu,2010 - 2022,Moldova,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_MDA,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - MEX,,,Mexican peso,2010 - 2022,Mexico,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_MEX,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - NLD,,,Euro,2010 - 2022,Netherlands,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_NLD,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - NOR,,,Norwegian krone,2010 - 2022,Norway,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_NOR,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - NZL,,,New Zealand dollar,2010 - 2022,New Zealand,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_NZL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - POL,,,Zloty,2010 - 2022,Poland,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_POL,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - PRT,,,Euro,2010 - 2022,Portugal,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_PRT,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - SVK,,,Euro,2010 - 2022,Slovakia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_SVK,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - SVN,,,Euro,2010 - 2022,Slovenia,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_SVN,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - SWE,,,Swedish krona,2010 - 2022,Sweden,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_SWE,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - TUR,,,Turkish lira,2010 - 2022,Turkiye,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_TUR,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - USA,,,US dollar,2010 - 2022,United States,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_USA,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - ZAF,,,Rand,2010 - 2022,South Africa,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_ZAF,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - CHN,,,Chinese yuan renminbi,2010 - 2022,China,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_CHN,/A.......S1311..?startPeriod=2010&dimensionAtObservation=AllDimensions"
Fossil Fuel Support - IND,,,Indian rupee,2010 - 2022,India,"https://sdmx.oecd.org/public/rest/data/OECD.TAD.ADM,DSD_FFS@DF_FFS_IND,/A.........?startPeriod=2010&dimensionAtObservation=AllDimensions"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
